"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:36 UTC 2026","57","Regression Suite","All Tests","com.restfulbooker.tests.auth.AuthTest","com.restfulbooker.tests.auth.AuthTest","testSuccessfulAuthentication","Valid authentication","Verify that a valid token is returned for correct credentials"
"broken","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:37 UTC 2026","310","Regression Suite","All Tests","com.restfulbooker.tests.booking.CreateBookingNegativeTest","com.restfulbooker.tests.booking.CreateBookingNegativeTest","testCreateInvalidBooking","Create booking with invalid data expects 500",""
"passed","Thu May 14 16:08:37 UTC 2026","Thu May 14 16:08:37 UTC 2026","323","Regression Suite","All Tests","com.restfulbooker.tests.booking.CreateBookingTest","com.restfulbooker.tests.booking.CreateBookingTest","testCreateValidBooking","Create a valid booking","Creates a booking with valid data and checks the response"
"passed","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:37 UTC 2026","1006","Regression Suite","All Tests","com.restfulbooker.tests.booking.DeleteBookingTest","com.restfulbooker.tests.booking.DeleteBookingTest","testDeleteBooking","Delete a booking and verify it no longer exists",""
"passed","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:37 UTC 2026","707","Regression Suite","All Tests","com.restfulbooker.tests.booking.GetBookingTest","com.restfulbooker.tests.booking.GetBookingTest","testGetBookingById","Get booking by existing ID",""
"broken","Thu May 14 16:08:37 UTC 2026","Thu May 14 16:08:37 UTC 2026","326","Regression Suite","All Tests","com.restfulbooker.tests.booking.CreateBookingNegativeTest","com.restfulbooker.tests.booking.CreateBookingNegativeTest","testCreateInvalidBooking","Create booking with invalid data expects 500",""
"passed","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:37 UTC 2026","710","Regression Suite","All Tests","com.restfulbooker.tests.booking.UpdateBookingTest","com.restfulbooker.tests.booking.UpdateBookingTest","testUpdateBooking","Update an existing booking",""
"passed","Thu May 14 16:08:37 UTC 2026","Thu May 14 16:08:37 UTC 2026","311","Regression Suite","All Tests","com.restfulbooker.tests.health.PingTest","com.restfulbooker.tests.health.PingTest","healthCheck","Health check",""
"broken","Thu May 14 16:08:36 UTC 2026","Thu May 14 16:08:36 UTC 2026","328","Regression Suite","All Tests","com.restfulbooker.tests.booking.CreateBookingNegativeTest","com.restfulbooker.tests.booking.CreateBookingNegativeTest","testCreateInvalidBooking","Create booking with invalid data expects 500",""
"passed","Thu May 14 16:08:37 UTC 2026","Thu May 14 16:08:37 UTC 2026","311","Regression Suite","All Tests","com.restfulbooker.tests.booking.GetBookingTest","com.restfulbooker.tests.booking.GetBookingTest","testGetNonExistentBooking","Get booking with non‑existent ID returns 404",""
